loops.thisTrialN,loops.stepSize,loops.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,loops.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
69,0.5,1.5,107.40862099989317,107.90881079994142,107.90881079994142,107.90881079994142,108.20882619987242,right,1.5,1,1,0.6007900999393314,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
70,0.5,1.5,108.52578040002845,109.02679799986072,109.02679799986072,109.02679799986072,109.34274729993194,left,-1.5,1,1,0.705082600004971,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
71,0.5,1.5,109.75929409987293,110.25896740006283,110.24176439992152,110.24176439992152,110.54222709988244,left,-1.5,1,1,0.7782329001929611,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
72,0.5,1.0,111.04165779985487,111.54182779998519,111.54182779998519,111.54182779998519,111.84209779999219,right,1.0,1,1,0.5718146001454443,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
73,0.5,1.0,112.14247890003026,112.64196610008366,112.64196610008366,112.64196610008366,112.94186710007489,left,-1.0,1,1,0.8597800000570714,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
74,0.5,1.0,113.52506770007312,114.02530019986443,114.00956849986687,114.00956849986687,114.30867779999971,right,1.0,1,1,0.5617657001130283,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
75,0.5,0.5,114.59161520004272,115.09157989989035,115.07493299990892,115.07493299990892,115.37513709999621,left,-0.5,1,1,0.9038291000761092,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
76,0.5,0.5,116.0078992000781,116.50835200003348,116.50835200003348,116.50835200003348,116.80824629985727,right,0.5,1,1,0.6339124999940395,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
77,0.5,0.5,117.15814809990115,117.65838139993139,117.65838139993139,117.65838139993139,117.95869380002841,right,0.5,0,0,0.5801166999153793,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
78,0.5,1.0,118.2584385999944,118.75828900001943,118.75828900001943,118.75828900001943,119.0583450999111,right,1.0,0,0,0.7614911999553442,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
79,0.5,1.5,119.54184650001116,120.04163199989125,120.04163199989125,120.04163199989125,120.34191070008092,right,1.5,1,1,1.0300552998669446,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
80,0.5,1.5,121.09099900000729,121.59128549997695,121.57473140000366,121.57473140000366,121.87528799986467,right,1.5,1,1,0.7186167000327259,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
81,0.5,1.5,122.3245727000758,122.8245749999769,122.8080569000449,122.8080569000449,123.10797080001794,right,1.5,1,1,0.6314385998994112,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
82,0.5,1.0,123.4576029998716,123.95794939994812,123.95794939994812,123.95794939994812,124.25806399993598,right,1.0,1,1,0.498915100004524,0001,001,2023-09-05_23h54.05.927,staircase,2023.1.3,60.018461679647615,
