94.8097 	EXP 	grating: autoDraw = True
95.1091 	EXP 	grating: autoDraw = False
95.5791 	DATA 	Keypress: left
95.5930 	EXP 	fixation: autoDraw = False
95.5930 	EXP 	grating: autoDraw = False
95.5930 	EXP 	grating: ori = 1.5
95.5930 	EXP 	fixation: autoDraw = True
96.0760 	EXP 	grating: autoDraw = True
96.0929 	EXP 	fixation: autoDraw = False
96.3763 	EXP 	grating: autoDraw = False
96.6622 	DATA 	Keypress: right
96.6764 	EXP 	fixation: autoDraw = False
96.6764 	EXP 	grating: autoDraw = False
96.6764 	EXP 	grating: ori = -1.5
96.6764 	EXP 	fixation: autoDraw = True
97.1597 	EXP 	grating: autoDraw = True
97.1762 	EXP 	fixation: autoDraw = False
97.4601 	EXP 	grating: autoDraw = False
97.7119 	DATA 	Keypress: left
97.7265 	EXP 	fixation: autoDraw = False
97.7265 	EXP 	grating: autoDraw = False
97.7265 	EXP 	grating: ori = 1.0
97.7265 	EXP 	fixation: autoDraw = True
98.2100 	EXP 	grating: autoDraw = True
98.2261 	EXP 	fixation: autoDraw = False
98.5096 	EXP 	grating: autoDraw = False
98.8615 	DATA 	Keypress: right
98.8755 	EXP 	fixation: autoDraw = False
98.8755 	EXP 	grating: autoDraw = False
98.8755 	EXP 	grating: ori = 1.0
98.8755 	EXP 	fixation: autoDraw = True
99.3763 	EXP 	fixation: autoDraw = False
99.3763 	EXP 	grating: autoDraw = True
99.6760 	EXP 	grating: autoDraw = False
100.0954 	DATA 	Keypress: left
100.1094 	EXP 	fixation: autoDraw = False
100.1094 	EXP 	grating: autoDraw = False
100.1094 	EXP 	grating: ori = -1.5
100.1094 	EXP 	fixation: autoDraw = True
100.6098 	EXP 	fixation: autoDraw = False
100.6098 	EXP 	grating: autoDraw = True
100.9098 	EXP 	grating: autoDraw = False
101.2290 	DATA 	Keypress: left
101.2429 	EXP 	fixation: autoDraw = False
101.2429 	EXP 	grating: autoDraw = False
101.2429 	EXP 	grating: ori = 1.5
101.2429 	EXP 	fixation: autoDraw = True
101.7258 	EXP 	grating: autoDraw = True
101.7426 	EXP 	fixation: autoDraw = False
102.0256 	EXP 	grating: autoDraw = False
102.3289 	DATA 	Keypress: right
102.3426 	EXP 	fixation: autoDraw = False
102.3426 	EXP 	grating: autoDraw = False
102.3426 	EXP 	grating: ori = 1.5
102.3426 	EXP 	fixation: autoDraw = True
102.8258 	EXP 	grating: autoDraw = True
102.8426 	EXP 	fixation: autoDraw = False
103.1260 	EXP 	grating: autoDraw = False
103.5950 	DATA 	Keypress: right
103.6094 	EXP 	fixation: autoDraw = False
103.6094 	EXP 	grating: autoDraw = False
103.6094 	EXP 	grating: ori = 1.0
103.6094 	EXP 	fixation: autoDraw = True
104.0926 	EXP 	grating: autoDraw = True
104.1090 	EXP 	fixation: autoDraw = False
104.3926 	EXP 	grating: autoDraw = False
104.7453 	DATA 	Keypress: right
104.7591 	EXP 	fixation: autoDraw = False
104.7591 	EXP 	grating: autoDraw = False
104.7591 	EXP 	grating: ori = -1.0
104.7591 	EXP 	fixation: autoDraw = True
105.2425 	EXP 	grating: autoDraw = True
105.2589 	EXP 	fixation: autoDraw = False
105.5424 	EXP 	grating: autoDraw = False
106.0283 	DATA 	Keypress: left
106.0421 	EXP 	fixation: autoDraw = False
106.0421 	EXP 	grating: autoDraw = False
106.0421 	EXP 	grating: ori = 1.0
106.0421 	EXP 	fixation: autoDraw = True
106.5255 	EXP 	grating: autoDraw = True
106.5423 	EXP 	fixation: autoDraw = False
106.8262 	EXP 	grating: autoDraw = False
107.3959 	DATA 	Keypress: left
107.4086 	EXP 	fixation: autoDraw = False
107.4086 	EXP 	grating: autoDraw = False
107.4086 	EXP 	grating: ori = 1.5
107.4086 	EXP 	fixation: autoDraw = True
107.9088 	EXP 	fixation: autoDraw = False
107.9088 	EXP 	grating: autoDraw = True
108.2088 	EXP 	grating: autoDraw = False
108.5134 	DATA 	Keypress: right
108.5258 	EXP 	fixation: autoDraw = False
108.5258 	EXP 	grating: autoDraw = False
108.5258 	EXP 	grating: ori = -1.5
108.5258 	EXP 	fixation: autoDraw = True
109.0268 	EXP 	fixation: autoDraw = False
109.0268 	EXP 	grating: autoDraw = True
109.3427 	EXP 	grating: autoDraw = False
109.7451 	DATA 	Keypress: left
109.7593 	EXP 	fixation: autoDraw = False
109.7593 	EXP 	grating: autoDraw = False
109.7593 	EXP 	grating: ori = -1.5
109.7593 	EXP 	fixation: autoDraw = True
110.2418 	EXP 	grating: autoDraw = True
110.2590 	EXP 	fixation: autoDraw = False
110.5422 	EXP 	grating: autoDraw = False
111.0286 	DATA 	Keypress: left
111.0417 	EXP 	fixation: autoDraw = False
111.0417 	EXP 	grating: autoDraw = False
111.0417 	EXP 	grating: ori = 1.0
